ipc_subclass,total_patents,granted_patents,unique_families,earliest_year,latest_year,avg_citations,ipc_section,ipc_section_name,grant_rate,time_span
B65F,267750,188338,136104,1899,9999,3.51,B,Performing Operations; Transporting,70.34,8100
B60P,266949,183757,170651,1901,9999,5.48,B,Performing Operations; Transporting,68.84,8098
G01G,266648,185306,132132,1894,9999,6.1,G,Physics,69.49,8105
B01L,264724,176203,136022,1900,9999,23.92,B,Performing Operations; Transporting,66.56,8099
B60B,264553,173851,150410,1856,9999,5.57,B,Performing Operations; Transporting,65.71,8143
B07C,263071,179616,115894,1904,9999,5.17,B,Performing Operations; Transporting,68.28,8095
D05B,260303,189312,116711,1877,9999,3.88,D,Textiles; Paper,72.73,8122
B33Y,256006,133906,98571,1997,2024,8.94,B,Performing Operations; Transporting,52.31,27
B22C,255572,170795,123327,1893,9999,5.11,B,Performing Operations; Transporting,66.83,8106
F17C,255202,165737,101531,1902,9999,7.91,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,64.94,8097
D04B,251616,172814,106070,1867,9999,6.62,D,Textiles; Paper,68.68,8132
D06B,250873,176043,101896,1877,9999,3.15,D,Textiles; Paper,70.17,8122
H01P,249559,153153,108566,1872,9999,12.14,H,Electricity,61.37,8127
B60S,249326,154563,142926,1901,9999,7.22,B,Performing Operations; Transporting,61.99,8098
B62K,248582,173393,133742,1894,9999,6.88,B,Performing Operations; Transporting,69.75,8105
F23G,245448,152875,105551,1894,9999,5.32,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,62.28,8105
B62J,241480,167062,133961,1892,9999,4.35,B,Performing Operations; Transporting,69.18,8107
G02C,237535,152213,93200,1881,9999,15.96,G,Physics,64.08,8118
G08C,231038,145775,162046,1891,9999,18.31,G,Physics,63.1,8108
B03C,227219,149791,113097,1898,9999,8.03,B,Performing Operations; Transporting,65.92,8101
F01L,226605,137623,93784,1894,9999,8.67,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,60.73,8105
H10K,226306,95991,56420,1949,9999,12.61,H,Electricity,42.42,8050
B67D,225507,144678,82099,1877,9999,15.74,B,Performing Operations; Transporting,64.16,8122
F24S,219842,138936,98272,1899,9999,7.0,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,63.2,8100
B63H,215033,134005,99375,1860,9999,7.02,B,Performing Operations; Transporting,62.32,8139
C21C,212176,134369,94489,1900,9999,4.88,C,Chemistry; Metallurgy,63.33,8099
B09B,210865,122809,120935,1910,9999,4.79,B,Performing Operations; Transporting,58.24,8089
A01F,210218,133763,110139,1877,9999,3.12,A,Human Necessities,63.63,8122
H04H,207626,117811,51021,1905,9999,88.5,H,Electricity,56.74,8094
A46B,207409,130628,93043,1895,9999,10.21,A,Human Necessities,62.98,8104
B26B,205319,133363,93838,1892,9999,12.28,B,Performing Operations; Transporting,64.95,8107
C07J,205244,138574,38266,1904,9999,13.15,C,Chemistry; Metallurgy,67.52,8095
A62B,203248,125026,105331,1880,9999,11.33,A,Human Necessities,61.51,8119
A23B,203056,110717,96666,1860,9999,7.38,A,Human Necessities,54.53,8139
A23C,201969,108817,65186,1886,9999,12.08,A,Human Necessities,53.88,8113
H01C,200421,119164,89812,1894,9999,6.59,H,Electricity,59.46,8105
F21W,199820,154018,154000,1904,9999,3.61,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,77.08,8095
E03C,199176,131253,119388,1894,9999,4.18,E,Fixed Constructions,65.9,8105
B21J,198959,139348,94705,1866,9999,5.18,B,Performing Operations; Transporting,70.04,8133
B25H,198383,156942,137223,1900,9999,2.9,B,Performing Operations; Transporting,79.11,8099
G04B,197235,123579,98787,1845,9999,4.8,G,Physics,62.66,8154
